bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso,shf
0,16.380952,161.142857,0.236018,214,20.835139,23.394773,0.289502,0.892946
0,16.380952,161.142857,0.233323,215,20.635166,23.696477,0.291937,0.886268
0,16.47619,162.095238,0.234846,216,20.378984,24.062785,0.293831,0.890795
0,16.47619,163.238095,0.235727,217,20.149705,24.491484,0.297078,0.892108
0,17.047619,162.952381,0.237819,216,19.812198,25.133104,0.294643,0.902033
0,17.047619,163.142857,0.237938,217,19.786659,25.133104,0.295184,0.902255
0,17.047619,163.142857,0.236901,218,19.746923,25.311423,0.295996,0.899768
0,16.952381,163.142857,0.235358,219,19.767414,25.235617,0.297078,0.895439
0,17.047619,163.142857,0.232478,220,19.50473,25.612485,0.299242,0.888803
0,16.952381,163.142857,0.231783,221,19.573645,25.532611,0.300054,0.885498
0,17.047619,164.47619,0.234007,222,19.366941,25.913522,0.302895,0.890418
0,17.238095,165.238095,0.240713,219,19.325982,26.024005,0.298972,0.910146
0,17.333333,165.238095,0.238759,220,19.265125,26.259039,0.300595,0.905082
0,17.428571,165.714286,0.238359,221,19.035029,26.521121,0.302489,0.905084
0,17.52381,167.142857,0.24302,222,18.904439,26.548858,0.303301,0.915188
0,17.333333,167.142857,0.242381,223,18.965611,26.091376,0.303842,0.91239
0,17.333333,167.142857,0.241619,224,18.929167,26.183519,0.304518,0.910684
0,17.52381,167.142857,0.238575,225,18.805465,26.672858,0.307224,0.907668
0,17.428571,167.142857,0.238299,226,18.914884,26.56207,0.307495,0.906558
0,17.714286,169.0,0.250401,225,18.814347,26.371085,0.303842,0.935768
0,17.809524,168.952381,0.255377,222,18.78348,26.041859,0.299107,0.950716
0,17.904762,168.952381,0.254668,223,18.685335,26.192043,0.299648,0.949907
0,17.809524,168.952381,0.252659,224,18.635985,26.311259,0.301542,0.943313
0,17.714286,168.952381,0.251763,225,18.667756,26.283522,0.302489,0.939603
0,17.619048,168.952381,0.250239,226,18.71235,26.293133,0.303436,0.935893
0,17.619048,168.952381,0.249778,227,18.681587,26.293133,0.303842,0.93467
0,17.809524,169.333333,0.249847,226,18.335592,26.703952,0.305195,0.938194
0,17.809524,169.333333,0.249316,227,18.313299,26.703952,0.305601,0.937304
0,17.904762,169.333333,0.246442,228,17.769933,27.688072,0.308442,0.931893
0,17.809524,169.333333,0.244866,229,17.771044,27.440041,0.309794,0.927163
0,17.619048,169.380952,0.244396,230,17.941772,27.099777,0.310335,0.925419
0,17.52381,169.380952,0.242759,231,18.05872,27.328411,0.311418,0.92109
0,17.619048,170.285714,0.250691,229,18.506423,26.465412,0.308306,0.938583
0,17.619048,170.285714,0.250126,230,18.489526,26.557745,0.308712,0.936954
0,17.714286,170.571429,0.249488,231,18.34707,26.675761,0.310335,0.937075
0,17.809524,170.571429,0.247449,232,18.188666,26.935421,0.311688,0.93244
0,17.904762,171.666667,0.249929,233,18.073638,27.340693,0.313853,0.936591
0,17.809524,171.666667,0.252081,232,18.329087,26.99283,0.312229,0.939041
0,17.809524,171.666667,0.250454,233,18.266946,26.99283,0.313853,0.933975
0,17.809524,171.666667,0.247926,234,18.203472,27.452324,0.316017,0.926886
0,18.0,171.666667,0.25045,231,18.103026,27.576232,0.313582,0.926754
0,17.904762,171.666667,0.249713,232,18.121641,27.610174,0.314123,0.924601
0,18.0,173.047619,0.254723,233,17.986606,27.724649,0.314394,0.935673
0,18.0,173.047619,0.253996,234,17.973575,27.724649,0.31507,0.933362
0,17.904762,173.047619,0.25346,235,18.002073,27.701966,0.315611,0.930939
0,17.904762,173.047619,0.252925,236,18.002073,27.701966,0.316288,0.928427
0,17.904762,173.047619,0.252511,237,17.992087,27.701966,0.316694,0.926798
0,18.190476,173.047619,0.255198,236,17.93895,27.960619,0.314665,0.945267
0,18.285714,174.47619,0.258279,237,17.693102,28.953606,0.316829,0.952273
0,18.47619,175.047619,0.259848,238,17.506621,29.414938,0.317641,0.956493
0,18.380952,175.047619,0.262261,236,17.655622,29.385805,0.315206,0.960979
